Word,Time,POS
heavybearded,41.189377553472724,VN
cheeks,41.18961788031723,N
buffing,41.19057918769526,VG
facets,41.19105984138428,N
bald,41.19178082191781,N
head,41.192021148762315,N
gently,41.19226147560683,ADV
palms,41.19298245614035,N
hands,41.19370343667388,N
bent,41.194184090362896,VD
forward,41.1944244172074,ADV
chuckling,41.19466474405191,VG
awoke,41.195385724585435,N
assured,41.19586637827445,VD
friendliest,41.19682768565249,N
tones,41.197068012497,N
deal,41.19778899303052,N
made,41.19850997356405,VN
still,41.19899062725307,ADV
didnt,41.1999519346311,N
die,41.20019226147561,V
vomited,41.200672915164624,VN
colonel,41.20115356885364,N
shot,41.20163422254266,N
feet,41.20235520307618,N
first,41.20307618360971,ADJ
cough,41.203316510454215,N
fled,41.20379716414323,VD
disgust,41.20427781783225,N
seemed,41.20499879836578,VD
indeed,41.205239125210284,ADV
silver,41.20644075943283,N
lining,41.206681086277335,VG
every,41.20716173996635,DET
cloud,41.207402066810864,N
reflected,41.20788272049988,VD
drifted,41.208603701033404,VD
back,41.208844027877916,PRO
suffocating,41.20956500841144,ADJ
daze,41.20980533525595,N
hand,41.21028598894497,N
sharp,41.210766642633985,ADJ
fingers,41.21100696947849,N
shook,41.211247296323,V
awake,41.21172795001202,V
roughly,41.211968276856524,ADV
turned,41.21244893054554,VD
opened,41.21292958423456,VN
eyes,41.213410237923576,N
mean,41.215332852679644,ADJ
face,41.21557317952415,N
curled,41.21605383321317,VN
lip,41.216534486902184,N
spiteful,41.21773612112473,ADJ
scowl,41.217976447969235,N
bragged,41.21845710165825,VD
weve,41.218697428502765,ADJ
pal,41.21941840903629,N
buddy,41.2196587358808,N
weve,41.219899062725304,N
pal,41.22062004325883,N
turned,41.22110069694785,VD
cold,41.221341023792355,VN
faint,41.22182167748137,N
broke,41.22230233117039,N
sweat,41.22302331170392,N
whos,41.223263638548424,V
pal,41.22374429223744,N
asked,41.22422494592646,VD
saw,41.22494592645999,VD
sitting,41.22566690699351,VG
colonel,41.22614756068253,N
sitting,41.22710886806056,VG
maybe,41.227349194905074,ADV
pal,41.228070175438596,ADJ
answered,41.228791155972125,VD
couldnt,41.22951213650565,N
hear,41.22975246335016,N
closed,41.23047344388368,VD
eyes,41.2309540975727,N
someone,41.231194424417204,N
gave,41.231434751261716,VD
water,41.23191540495073,ADJ
sip,41.23239605863975,V
tiptoed,41.23287671232877,VN
away,41.23311703917327,ADV
slept,41.23359769286229,VD
woke,41.23407834655131,N
feeling,41.234559000240324,VG
great,41.234799327084836,ADJ
turned,41.23552030761836,VD
head,41.236000961307376,N
smile,41.23648161499639,V
saw,41.23768324921894,VD
instead,41.23840422975246,ADV
moaned,41.23888488344148,VN
instinctively,41.23912521028599,ADV
screwed,41.23960586397501,VD
face,41.240086517664025,N
excruciating,41.24080749819755,N
irritability,41.24104782504206,N
chortled,41.24176880557558,VN
asked,41.2422494592646,VD
feeling,41.24321076664263,VG
looked,41.24369142033165,VD
puzzled,41.24393174717616,VN
inquired,41.244652727709685,VN
jail,41.246094688776736,N
shut,41.24657534246575,N
eyes,41.24705599615477,N
make,41.24753664984379,V
go,41.248017303532805,V
away,41.24825763037731,ADV
opened,41.24897861091084,VD
gone,41.249939918288874,VN
broke,41.25162220620043,N
laughter,41.25210285988945,N
spied,41.25282384042298,VD
chaplains,41.253304494111994,N
cheerful,41.2535448209565,ADJ
grin,41.25378514780101,N
asked,41.25426580149003,VD
hell,41.25546743571257,N
happy,41.2564287430906,ADJ
happy,41.25714972362413,N
slight,41.270608026916605,ADJ
one,41.27084835376112,NUM
youll,41.27156933429464,ADJ
probably,41.27180966113915,ADV
able,41.27229031482817,ADJ
leave,41.272770968517186,V
day,41.27349194905071,N
two,41.273972602739725,NUM
danger,41.27493391011776,N
isnt,41.27541456380678,VD
bad,41.27565489065129,ADJ
listened,41.27661619802932,VN
chaplains,41.277337178562846,N
news,41.27757750540735,N
enormous,41.27805815909637,ADJ
relief,41.27829848594088,N
good,41.2787791396299,ADJ
yes,41.2790194664744,N
pink,41.28022110069695,N
flush,41.280461427541454,N
impish,41.28094208123047,ADJ
pleasure,41.28118240807498,N
creeping,41.28142273491949,VG
cheeks,41.28214371545302,N
yes,41.28238404229752,V
good,41.28310502283105,ADJ
laughed,41.28358567652007,VD
recalling,41.283826003364574,VG
first,41.28430665705359,ADJ
conversation,41.2845469838981,N
know,41.28574861812064,V
first,41.28622927180966,ADJ
time,41.28646959865417,N
met,41.28695025234319,V
hospital,41.28815188656573,N
enthusiastically,41.311944244172075,ADV
though,41.31242489786109,P
idea,41.31290555155011,N
occurred,41.31362653208363,VN
yes,41.314587839461666,N
guess,41.31506849315068,V
good,41.31578947368421,ADJ
bent,41.31627012737323,VD
forward,41.316510454217735,ADV
impulsively,41.31675078106225,ADV
awkward,41.317231434751264,N
solicitude,41.31747176159577,N
anything,41.3184330689738,N
anything,41.320596010574384,N
teased,41.322037971641436,VN
jovially,41.32251862533045,ADV
like,41.32275895217496,P
toys,41.32299927901947,N
candy,41.32347993270848,N
chewing,41.3239605863975,VG
gum,41.32420091324201,N
blushed,41.32492189377553,VD
grinning,41.32540254746455,VG
selfconsciously,41.32564287430906,ADV
turned,41.32636385484258,VD
respectful,41.3268445085316,ADJ
like,41.32708483537611,P
books,41.32732516222062,N
perhaps,41.32756548906513,ADV
anything,41.32804614275415,N
wish,41.32900745013218,V
something,41.3297284306657,N
could,41.33020908435472,MOD
make,41.33093006488825,V
happy,41.33141071857727,V
know,41.331891372266284,V
proud,41.333093006488824,ADJ
proud,41.33381398702235,V
yes,41.33405431386686,N
course,41.334534967555875,N
risking,41.33501562124489,N
life,41.33549627493391,N
stop,41.33597692862293,V
nazi,41.336457582311944,N
assassin,41.336697909156456,N
noble,41.337899543378995,ADJ
thing,41.33813987022351,N
saved,41.34294640711367,VD
might,41.3436673876472,MOD
stabbed,41.34414804133622,VN
death,41.34486902186974,N
grappled,41.34559000240327,VD
balcony,41.34679163662581,N
lucky,41.34751261715934,ADJ
thing,41.347752944003844,N
alive,41.34823359769286,ADJ
snickered,41.34871425138188,VD
sardonically,41.34895457822639,ADV
understood,41.34967555875991,VD
nazi,41.35063686613795,N
assassin,41.35087719298246,N
certainly,41.351117519826964,ADV
colonel,41.35183850036049,ADJ
natelys,41.35352078827205,N
girl,41.353761115116555,N
friend,41.35400144196107,N
saw,41.365777457341984,N
ran,41.36673876472002,VD
away,41.36697909156453,ADV
official,41.36745974525355,N
report,41.36770007209805,N
says,41.367940398942565,V
stopped,41.36842105263158,VD
nazi,41.3689017063206,N
assassin,41.369142033165105,N
killing,41.36962268685412,VG
believe,41.370343667387644,V
official,41.37082432107666,N
report,41.37106464792117,N
advised,41.37154530161019,VD
dryly,41.371785628454695,ADV
part,41.37226628214371,N
deal,41.37298726267724,N
deal,41.37346791636626,N
deal,41.373948570055276,N
made,41.37442922374429,VD
colonel,41.37490987743331,N
colonel,41.37563085796683,N
theyll,41.37611151165585,N
let,41.37635183850036,N
go,41.37683249218938,V
home,41.377072819033884,ADV
appalled,41.38476327805816,VN
rose,41.385243931747176,VD
halfway,41.38548425859168,N
chair,41.386445565969716,N
bristled,41.38692621965873,VD
bellicose,41.38740687334775,N
dismay,41.38764720019226,N
terrible,41.388368180725784,ADJ
shameful,41.389089161259314,ADJ
scandalous,41.38932948810382,ADJ
deal,41.38956981494833,N
isnt,41.389810141792836,N
odious,41.39029079548185,V
answered,41.39077144917087,VN
staring,41.39101177601538,VG
woodenly,41.3914924297044,ADV
ceiling,41.39221341023792,N
back,41.393174717615956,N
head,41.393895698149485,N
resting,41.39413602499399,VG
pillow,41.39485700552752,N
think,41.39533765921654,V
odious,41.39557798606104,ADJ
word,41.39629896659457,N
must,41.41071857726508,MOD
whatever,41.4111992309541,ADV
think,41.411679884643114,V
right,41.41216053833213,ADV
nodded,41.413121845710165,VD
though,41.4140831530882,P
deciding,41.41432347993271,N
argument,41.41480413362173,N
lapsed,41.41528478731074,VD
embarrassed,41.415765440999756,VN
silence,41.41600576784427,N
worry,41.416486421533286,N
sorrowful,41.417688055755825,ADJ
laugh,41.41792838260034,N
several,41.418409036289354,ADJ
moments,41.41864936313386,N
passed,41.419130016822876,VN
going,41.419850997356406,VG
must,41.42129295842346,MOD
insisted,41.422494592646,VD
bending,41.42273491949051,VG
forward,41.422975246335014,ADV
concern,41.42345590002403,N
really,41.42369622686854,ADV
must,41.42417688055756,MOD
right,41.425138187935595,N
influence,41.42561884162461,N
really,41.426339822158134,ADV
right,41.42706080269166,N
anything,41.427781783225186,N
didnt,41.4282624369142,V
influence,41.428502763758715,N
hauled,41.42922374429224,ADJ
onto,41.429944724825766,P
side,41.430425378514784,N
shook,41.430906032203794,N
head,41.43138668589281,N
solemn,41.43186733958183,N
mockery,41.43210766642634,N
christ,41.432347993270845,N
imagine,41.43330930064888,V
sin,41.434270608026914,N
saving,41.434510934871426,VG
colonel,41.43475126171593,N
cathcarts,41.43499158856044,N
send,41.460466234078346,V
home,41.46094688776736,N
know,41.461667868300886,ADV
hot,41.462388848834415,ADV
warm,41.46335015621245,N
cold,41.46455179043499,ADJ
know,41.46599375150204,V
remembered,41.46647440519106,VN
funny,41.46719538572459,ADJ
thing,41.46743571256909,N
happened,41.467676039413604,VD
maybe,41.46791636625811,ADV
dreamed,41.468397019947126,VD
think,41.469118000480655,V
