Location,Time,Lat,Lon
pianosa,10.340007415647015,42.5874022,10.0990473
pianosa,12.029251563445632,42.5874022,10.0990473
pianosa,12.047407706273956,42.5874022,10.0990473
pianosa,12.054670163405286,42.5874022,10.0990473
pianosa,12.057696187210006,42.5874022,10.0990473
pianosa,12.272543877345168,42.5874022,10.0990473
pianosa,13.227777777777778,42.5874022,10.0990473
pianosa,13.380409356725146,42.5874022,10.0990473
pianosa,16.976175931582162,42.5874022,10.0990473
pianosa,17.881325966850827,42.5874022,10.0990473
pianosa,17.881546961325967,42.5874022,10.0990473
pianosa,19.065096952908586,42.5874022,10.0990473
pianosa,21.116990755498886,42.5874022,10.0990473
pianosa,22.510234648027957,42.5874022,10.0990473
pianosa,22.965884506573474,42.5874022,10.0990473
pianosa,22.986353802629388,42.5874022,10.0990473
pianosa,29.38694336359706,42.5874022,10.0990473
pianosa,29.612191958495462,42.5874022,10.0990473
pianosa,29.785992217898833,42.5874022,10.0990473
pianosa,30.23294008790192,42.5874022,10.0990473
pianosa,31.723051409618574,42.5874022,10.0990473
pianosa,38.50040436716539,42.5874022,10.0990473
pianosa,38.521431459765466,42.5874022,10.0990473
pianosa,38.59522846744844,42.5874022,10.0990473
pianosa,39.78556327393537,42.5874022,10.0990473
pianosa,39.953639383871945,42.5874022,10.0990473
rome,2.296693060083838,41.8932575,12.4830619
rome,2.3856544014904517,41.8932575,12.4830619
rome,3.2514822134387353,41.8932575,12.4830619
rome,3.365365612648221,41.8932575,12.4830619
rome,3.4402173913043477,41.8932575,12.4830619
rome,4.156363636363636,41.8932575,12.4830619
rome,4.275272727272728,41.8932575,12.4830619
rome,4.618909090909091,41.8932575,12.4830619
rome,4.731636363636364,41.8932575,12.4830619
rome,7.336280288146693,41.8932575,12.4830619
rome,7.406024885396202,41.8932575,12.4830619
rome,9.74193899782135,41.8932575,12.4830619
rome,11.750187265917603,41.8932575,12.4830619
rome,11.783520599250936,41.8932575,12.4830619
rome,12.881985071615897,41.8932575,12.4830619
rome,13.050292397660819,41.8932575,12.4830619
rome,13.142105263157895,41.8932575,12.4830619
rome,13.197076023391812,41.8932575,12.4830619
rome,13.349415204678362,41.8932575,12.4830619
rome,13.381578947368421,41.8932575,12.4830619
rome,14.626659292035399,41.8932575,12.4830619
rome,14.654314159292035,41.8932575,12.4830619
rome,15.859286428809604,41.8932575,12.4830619
rome,15.995998666222073,41.8932575,12.4830619
rome,16.76033394420688,41.8932575,12.4830619
rome,16.80024434941967,41.8932575,12.4830619
rome,17.818121546961326,41.8932575,12.4830619
rome,17.94254143646409,41.8932575,12.4830619
rome,22.793310034947577,41.8932575,12.4830619
rome,23.32907832107313,41.8932575,12.4830619
rome,23.90112505408914,41.8932575,12.4830619
rome,26.349302150132026,41.8932575,12.4830619
rome,28.56100454815108,41.8932575,12.4830619
rome,28.721574055764286,41.8932575,12.4830619
rome,28.773778920308484,41.8932575,12.4830619
rome,29.34046692607004,41.8932575,12.4830619
rome,30.623640990053204,41.8932575,12.4830619
rome,32.99219108865411,41.8932575,12.4830619
rome,33.00159337157425,41.8932575,12.4830619
rome,33.09018483110261,41.8932575,12.4830619
rome,38.061665992721395,41.8932575,12.4830619
rome,38.06894460169834,41.8932575,12.4830619
rome,38.495754144763445,41.8932575,12.4830619
rome,38.51657905378083,41.8932575,12.4830619
rome,38.5175899716943,41.8932575,12.4830619
rome,38.5351799433886,41.8932575,12.4830619
rome,38.92135058633239,41.8932575,12.4830619
rome,38.93974929235746,41.8932575,12.4830619
rome,39.00226517668378,41.8932575,12.4830619
rome,39.096345514950166,41.8932575,12.4830619
rome,39.269102990033225,41.8932575,12.4830619
rome,39.32573240712776,41.8932575,12.4830619
rome,39.92781636967683,41.8932575,12.4830619
rome,40.467811158798284,41.8932575,12.4830619
rome,42.235703734965185,41.8932575,12.4830619
rome,42.78138847858198,41.8932575,12.4830619
rome,42.89596961384258,41.8932575,12.4830619
salerno,6.259976865240023,40.6779781,14.7657547
sardinia,24.01017733230532,40.0907873,9.0367476
sardinia,29.621703415477736,40.0907873,9.0367476
sicily,4.906545454545455,37.587794,14.155048
sicily,4.908,37.587794,14.155048
sicily,13.335672514619883,37.587794,14.155048
sicily,13.499122807017544,37.587794,14.155048
sicily,22.109335996005992,37.587794,14.155048
sicily,22.296222333166916,37.587794,14.155048
sicily,22.305874521551008,37.587794,14.155048
sicily,22.382259943418205,37.587794,14.155048
sicily,22.45981028457314,37.587794,14.155048
sicily,22.4618072890664,37.587794,14.155048
sicily,22.46813113662839,37.587794,14.155048
sicily,22.47911466134132,37.587794,14.155048
sicily,22.69013146946247,37.587794,14.155048
sicily,22.696788151106674,37.587794,14.155048
sicily,22.70361124979198,37.587794,14.155048
sicily,22.9900149775337,37.587794,14.155048
sicily,24.09545104086353,37.587794,14.155048
sicily,28.798101641289303,37.587794,14.155048
smyrna,2.8584070796460175,38.46198465,27.1713541166558
smyrna,7.469220694171578,38.46198465,27.1713541166558
spezia,28.268934150682224,44.107033,9.8282255
spezia,29.815823605706875,44.107033,9.8282255
spezia,30.108952116585705,44.107033,9.8282255
spezia,35.91609482220836,44.107033,9.8282255
spezia,38.03315810756167,44.107033,9.8282255
vesuvius,22.304543185222165,40.8217381,14.4263963
